scene,status,track_index,voice_track_stream
sq_cs71_s00270,resolved,14,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c403/wav/english/windows/sq_cs71_s00270_c403_voice_track.english.core.stream
sq_cs71_s00270,resolved,15,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c404/wav/english/windows/sq_cs71_s00270_c404_voice_track.english.core.stream
sq_cs02_s00200,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00200/wav/english/windows/sq_cs02_s00200_voice_track.english.core.stream
sq_cs00_s00400,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00400/wav/english/windows/sq_cs00_s00400_voice_track_brd101a.english.core.stream
sq_cs00_s00400,resolved,1,ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00400/wav/english/windows/sq_cs00_s00400_voice_track_igor.english.core.stream
sq_cs00_s00400,resolved,2,ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00400/wav/english/windows/sq_cs00_s00400_voice_track_sam.english.core.stream
sq_cs77_s00210,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00210/wav/english/windows/sq_cs77_s00210_voice_track.english.core.stream
sq_cs05_s01300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01300/wav/english/windows/sq_cs05_s01300_voice_track.english.core.stream
sq_cs77_s00206,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00206/wav/english/windows/sq_cs77_s00206_voice_track.english.core.stream
sq_cs09_s00030,no_voice_track,,
sq_cs10_s00450,no_sound_core,,
sq_cs01_s00700,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00700/wav/english/windows/sq_cs01_s00700_voice_track.english.core.stream
sq_cs77_s00203,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00203/wav/english/windows/sq_cs77_s00203_voice_track.english.core.stream
sq_cs77_s00204,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00204/wav/english/windows/sq_cs77_s00204_voice_track.english.core.stream
sq_cs02_s01200,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s01200/wav/english/windows/sq_cs02_s01200_voice_track.english.core.stream
sq_cs01_s00400,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00400/wav/english/windows/sq_cs01_s00400_voice_track.english.core.stream
sq_cs02_s01250,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s01250/wav/english/windows/sq_cs02_s01250_voice_track.english.core.stream
sq_cs00_s00450,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00450/wav/english/windows/sq_cs00_s00450_voice_track.english.core.stream
sq_cs77_s00201,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00201/wav/english/windows/sq_cs77_s00201_voice_track.english.core.stream
sq_cs07_s00200,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00200/wav/english/windows/sq_cs07_s00200_voice_track.english.core.stream
sq_cs10_s00400,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00400/wav/english/windows/sq_cs10_s00400_voice_track.english.core.stream
sq_cs10_s00300,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00300/wav/english/windows/sq_cs10_s00300_voice_track.english.core.stream
sq_cs10_s00500,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00500/wav/english/windows/sq_cs10_s00500_voice_track.english.core.stream
sq_cs10_s00100,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs10/sq_cs10_s00100/wav/english/windows/sq_cs10_s00100_voice_track.english.core.stream
sq_cs00_s00600,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs00/sq_cs00_s00600/wav/english/windows/sq_cs00_s00600_voice_track.english.core.stream
